name,address,addr:city,addr:postcode,cuisine,lat,lon,county
Schlotzsky's,Gulf Freeway Frontage Road,Houston,77087,sandwich,29.7039731,-95.2972354,Harris
Panda Express,FM 1960 Road,West,77090,chinese,30.0189414,-95.4345768,Harris
Wingstop,FM 1960 Road West,Houston,77090,wings,30.0200399,-95.4362022,Harris
Schlotzsky's,FM 1960 Bypass Road West,Humble,77338,sandwich,30.0062537,-95.2748088,Harris
Schlotzsky's,Fry Road,Katy,77449,sandwich,29.8162032,-95.7210336,Harris
Popeyes,Morton Road,Katy,77449,chicken,29.8151513,-95.7197086,Harris
Jack in the Box,North Fry Road,Katy,77449,burger,29.8145369,-95.7201109,Harris
Schlotzsky's,Kingwood Drive,Kingwood,77339,sandwich,30.0506844,-95.2378418,Harris
Denny's,,,,american,29.9991428,-95.4270599,Harris
Subway,Buffalo Speedway,Houston,77005,sandwich,29.7268744,-95.429654,Harris
100% Taquito,,,,mexican,29.7287308,-95.4309947,Harris
Thai Bistro,,,,thai,29.7287541,-95.4305012,Harris
McDonald's,Almeda Road,Houston,77053,burger,29.6132514,-95.4202076,Harris
Church's Chicken,,,,,29.614113,-95.4199259,Harris
Schlotzsky's,Northwest Freeway Frontage Road,Cypress,77429,sandwich,29.9636353,-95.6867012,Harris
Brasserie 19,West Gray Street,Houston,77019,,29.753412,-95.4073494,Harris
Panera Bread,West Holcombe Boulevard,Houston,77025,sandwich;bakery,29.704855,-95.426826,Harris
Sushi King,,,,sushi,29.735141,-95.418411,Harris
Bollo Woodfired Pizza,West Alabama Street,Houston,77098,italian;pasta;pizza,29.738867,-95.413419,Harris
Jamba,,,,juice,29.729857,-95.438011,Harris
Firehouse Subs,,Houston,,sandwich,29.6857351,-95.4638807,Harris
Little Caesars,,,,pizza,29.5598669,-95.1418413,Harris
Burger King,Eldorado Boulevard,Webster,77598-2201,burger,29.5613531,-95.1420692,Harris
Taco Bell,Gulf Freeway,Webster,77598,tex-mex,29.5556647,-95.1531392,Harris
McDonald's,Eldorado Boulevard,Webster,77598-2202,burger,29.5602729,-95.1421685,Harris
Jack in the Box,El Dorado Boulevard,Webster,77598,burger,29.5591297,-95.144325,Harris
McDonald's,Gulf Freeway,Houston,77034,burger,29.5926696,-95.19224,Harris
Chick-fil-A,Gulf Freeway,Webster,77598,chicken,29.5556253,-95.1538092,Harris
Jack in the Box,Galveston Road,Houston,77034,burger,29.5996897,-95.1770587,Harris
Popeyes,El Dorado Boulevard,Webster,77598,chicken,29.5555446,-95.1518567,Harris
Subway,El Dorado Boulevard,Webster,77598,sandwich,29.5599556,-95.1419485,Harris
Subway,Gulf Freeway,Houston,77034,sandwich,29.5885879,-95.1832277,Harris
Popeyes,Gulf Freeway,Houston,77034,chicken,29.5929075,-95.1926262,Harris
Subway,Edgebrook Road,Houston,77034,sandwich,29.6424042,-95.2434009,Harris
Denny's,,,,american,29.6518684,-95.25244,Harris
Starbucks,San Felipe Street,San Felipe,77027,coffee_shop,29.7476663,-95.4548472,Harris
Chacho's Grill,South Loop West,Houston,77054,mexican,29.678459,-95.421968,Harris
Jack in the Box,Long Drive,Houston,77087,burger,29.69299,-95.321896,Harris
Shipley's Donuts,,,,donut,29.685185,-95.340294,Harris
Saltgrass Steak House,Northwest Freeway,,77429,steak_house,29.9521702,-95.6703168,Harris
Hungry Like The Wolf,Studemont Street,Houston,77007,,29.7671866,-95.3917245,Harris
Spicy Tu Jiazu,Bellaire Boulevard,Houston,77036,chinese,29.7066563,-95.5531567,Harris
China Stix,West Holcombe Boulevard,Houston,77025,chinese,29.7049514,-95.4265689,Harris
Five Guys,North Shepherd Drive,Houston,77008,burger,29.8135915,-95.4099541,Harris
Chipotle,Heights Boulevard,Houston,77007,mexican,29.7746436,-95.3979396,Harris
Starbucks,Heights Boulevard,Houston,77007,coffee_shop,29.7747678,-95.3983383,Harris
Popeyes,Jones Road,Houston,77070,chicken,29.9462636,-95.5845058,Harris
Wingstop,North Shepherd Drive,Houston,77018,wings,29.8121108,-95.4099457,Harris
Raj Bhavan Vegetarian Restaurant,Tomball Parkway,Houston,77064,indian,29.9595009,-95.5469258,Harris
Smoothie King,FM 1960 West,Houston,77070,juice,29.9327295,-95.5844696,Harris
CoCos Crepes,Washington Avenue,Houston,77007,regional;breakfast;coffee_shop;cake;ice_cream;savory_pancakes,29.7703853,-95.41834,Harris
Chipotle,North Loop West,Houston,77008,mexican,29.8120147,-95.4223142,Harris
Pei Wei,North Loop West,Houston,77008,asian,29.8120137,-95.4221734,Harris
Corner Bakery,Yale Street,,,coffee_shop,29.772809,-95.3989858,Harris
Chilosos Taco House,East 20th Street,Houston,77246,mexican,29.8043204,-95.3908882,Harris
Chick-fil-A,McKinney Street,Houston,77010,chicken,29.7552172,-95.3627949,Harris
McDonald's,Highway 6,Houston,77083-3303,burger,29.7024364,-95.6434132,Harris
Chipotle,East Sam Houston Parkway North,Houston,77049,mexican,29.8100076,-95.1624022,Harris
Chili's,,,,tex-mex,29.9336768,-95.2514313,Harris
Burger King,North Sam Houston Parkway East,Humble,77396-2981,burger,29.9335295,-95.2503123,Harris
Long John Silver's,,,,seafood,29.649252,-95.1670521,Harris
Sonic,Fairmont Parkway,Pasadena,77505,burger,29.6492124,-95.1653423,Harris
Chipotle,Louisiana Street,Houston,77006,mexican,29.7463167,-95.3762346,Harris
Starbucks,Louisiana Street,Houston,77006,coffee_shop,29.7465706,-95.3767282,Harris
Potbelly,Louisiana Street,Houston,77006,sandwich,29.7465193,-95.3766423,Harris
Starbucks,Louisiana Street,Houston,77006,coffee_shop,29.748813,-95.3745347,Harris
Cali Sandwich & Pho,Travis Street,Houston,77006,sandwich;vietnamese,29.7436386,-95.3771975,Harris
Jimmy John's,Yale Street,Houston,77007,sandwich,29.7734798,-95.3982548,Harris
McDonald's,Kuykendahl Road,Tomball,77375,burger,30.1125018,-95.553282,Harris
Fang's Cafe,,,,chinese,30.1234143,-95.5534445,Harris
Wendy's,El Camino Real,Houston,77062,burger,29.5577702,-95.1235945,Harris
Subway,Bay Area Boulevard,Houston,77058,sandwich,29.5719556,-95.1107826,Harris
Subway,Airline Drive,Houston,77076,sandwich,29.86866,-95.3843575,Harris
Gotham Pizza,Louisiana Street,Houston,,pizza,29.7495249,-95.3751133,Harris
Little Caesars,West Little York Road,Houston,,pizza,29.8645832,-95.4739237,Harris
Pho 21,Bay Area Boulevard,Houston,77058,vietnamese,29.574632,-95.1096046,Harris
Little Caesars,Fulton Street,Houston,,pizza,29.7857813,-95.3616309,Harris
Texadelphia,North Shepherd Drive,Houston,77018,sandwich,29.8176278,-95.4098911,Harris
Oporto Fooding House,West Gray Street,Houston,77019,portuguese,29.7531325,-95.380196,Harris
Starbucks,Smith Street,Houston,77002,coffee_shop,29.7505266,-95.3746958,Harris
Jason's Deli,Kingwood Drive,Kingwood,,sandwich,30.0506901,-95.2374511,Harris
Local Foods,,,,,29.7194905,-95.4165267,Harris
Thai Spice,,,,thai,29.7196547,-95.416577,Harris
Subway,Richmond Avenue,Houston,77056,sandwich,29.7327814,-95.4658258,Harris
Little Caesars,,,,pizza,29.9021479,-95.3336751,Harris
Table 7 Bistro,Fannin Street,Houston,77002,american,29.7581757,-95.3630325,Harris
Sapporo Sushi & Bar,Congress Street,Houston,77002,sushi,29.7632214,-95.3620814,Harris
The Big Casino Bar,,,,latin_american,29.7624484,-95.3613586,Harris
Hearsay Gastro Lounge,Travis Street,Houston,77002,,29.7630107,-95.3616013,Harris
Moon Tower Inn,Canal Street,Houston,77003,hot_dog,29.7543105,-95.3409715,Harris
Sambuca,Texas Avenue,Houston,77002,,29.76054,-95.3631907,Harris
Siphon Coffee,West Alabama Street,Houston,77006,,29.7383874,-95.3882991,Harris
Jimmy John's,Main Street,Houston,77002,sandwich,29.7580149,-95.3643278,Harris
Jason's Deli,McKinney Street,Houston,77002,sandwich,29.757519,-95.3654597,Harris
Tacos a Go-Go,Main Street,Houston,77002,mexican;tacos,29.7383718,-95.3798552,Harris
Winnie's,Main Street,Houston,77002,,29.7388028,-95.3795223,Harris
,San Jacinto Street,Houston,77002,,29.7533682,-95.3641501,Harris
,San Jacinto Street,Houston,77002,,29.7535126,-95.3640965,Harris
La Madeleine,Katy Freeway,Houston,77007,french,29.7764377,-95.3824414,Harris
Freebirds,Taylor Street,Houston,,mexican,29.775462,-95.3826895,Harris
Bodegas Taco Shop,Binz Street,Houston,77004,mexican,29.7236671,-95.3877275,Harris
Torchy's Tacos,Times Boulevard,Houston,77005,,29.7169295,-95.4151375,Harris
Jimmy John's,Calhoun Road,Houston,77004,sandwich,29.7227273,-95.3371652,Harris
Murphy's Deli,,,,,29.7191977,-95.3376724,Harris
Pink's Pizza,,,,italian,29.7226439,-95.3372,Harris
Pizza Hut,,,,pizza,29.7190663,-95.3377251,Harris
Subway,,,,sandwich,29.7191268,-95.3377005,Harris
The Nook Cafe,,,,,29.7225331,-95.3372392,Harris
Moody Towers Dining Commons,Cougar Village Drive,Houston,77204,pizza;italian;burger;regional;chinese;sandwich;mexican;indian;chicken;american;seafood,29.7175235,-95.3423427,Harris
Subway,Scott Street,Houston,77004,sandwich,29.7225299,-95.3519286,Harris
Wingstop,,,,wings,29.7224321,-95.3519714,Harris
El Greco Greek,,,,,29.7272674,-95.3209052,Harris
McAlister's Deli,,,,sandwich,29.7185367,-95.3397006,Harris
Ray's BBQ Shack,,,,,29.7064839,-95.3436962,Harris
Belfort Seafood,,,,,29.7048579,-95.3580055,Harris
Domino's,Old Spanish Trail,Houston,77021,pizza,29.7024355,-95.3639419,Harris
Louisiana Fried Chicken & Seafood,Old Spanish Trail,Houston,,,29.7016239,-95.3644963,Harris
Papa John's,Old Spanish Trail,Houston,77021,pizza,29.7016182,-95.3646136,Harris
Subway,Old Spanish Trail,Houston,77021,sandwich,29.7024336,-95.3640139,Harris
Ostioneria Michoacan,,,,,29.7164776,-95.3157082,Harris
Shipley Donuts,,,,,29.7163401,-95.3155115,Harris
Chinese Buffet,,,,chinese,29.711581,-95.3135741,Harris
Julio's Mexican Grill,Telephone Road,Houston,,,29.7120058,-95.314965,Harris
Little Caesars,Telephone Road,Houston,,pizza,29.7119846,-95.3150325,Harris
Subway,Telephone Road,Houston,77023,sandwich,29.7112505,-95.3145274,Harris
Subway,Clear Lake City Boulevard,Houston,77062,sandwich,29.5827381,-95.1536587,Harris
Abe's Cajun Market & Cafe,,,,,29.5807933,-95.15577,Harris
Starbucks,Galveston Road,Webster,77598,coffee_shop,29.5782694,-95.1569716,Harris
Alamo Tamales,,,,mexican,29.578456,-95.1571165,Harris
Subway,Upper Bay Road,Houston,77058,sandwich,29.5503972,-95.0902236,Harris
Perbacco,Milam Street,Houston,,italian,29.7601901,-95.3651729,Harris
El Dorado Mexican Restaurant,,,,mexican,29.5786745,-95.120244,Harris
KFC,El Dorado Boulevard,Houston,77062,chicken,29.5783759,-95.1219579,Harris
Sharky's,,,,seafood,30.0316071,-95.1734784,Harris
Zammitti's,,,,italian,30.0318045,-95.1743112,Harris
Chimichurri's,,,,,30.031541,-95.1731578,Harris
Raffa's,,,,,30.0317441,-95.1740349,Harris
Frenchie's Italian Restaurant,Nasa Parkway,Houston,77058,italian,29.5467455,-95.1055901,Harris
Church's Chicken,Bay Area Boulevard,League City,77058,chicken,29.5577114,-95.1178206,Harris
Dickey's Barbecue Pit,,,,barbecue,29.5575621,-95.117995,Harris
Starbucks,Bay Area Boulevard,Houston,77058,coffee_shop,29.5516681,-95.1262036,Harris
McDonald's,Bay Area Boulevard,Houston,77058,burger,29.5514902,-95.1263979,Harris
The Cajun Shop,,,,,29.7447607,-95.359894,Harris
"AHH, Coffee!",,,,,29.7527083,-95.3549529,Harris
Pizza Hut,Saint Emanuel Street,Houston,77003,pizza,29.7518735,-95.3554905,Harris
Vitingho Restaurant,,,,asian,29.7520609,-95.3556728,Harris
Boudreaux's Cajun Kitchen,,,,,29.7003128,-95.2961486,Harris
Cicis,,,,pizza;buffet,29.6962472,-95.2972852,Harris
Son Nam,,,,,29.7002406,-95.2957208,Harris
Vietnamese Cuisine,,,,vietnamese,29.7002482,-95.2958652,Harris
Wingstop,Gulfgate Center Mall,Houston,77087,wings,29.6965499,-95.2971202,Harris
Starbucks,Gulfgate Center,Houston,77087,coffee_shop,29.6978076,-95.2977735,Harris
McDonald's,North Park Drive,Kingwood,77339,burger,30.0681424,-95.2150286,Harris
MOD Pizza,San Felipe Street,Houston,77057,pizza,29.7494484,-95.4785691,Harris
Leaf & Grain,San Felipe Street,Houston,77057,,29.7494452,-95.4786982,Harris
Jimmy John's,Greenspoint Drive,Houston,77032,sandwich,29.9439635,-95.4063687,Harris
China Star,,,,,29.7017484,-95.2978596,Harris
Subway,Gulf Freeway,Houston,77087,sandwich,29.7015523,-95.2974786,Harris
Valdo's Seafood House,,,,seafood,29.5652849,-95.0534304,Harris
Villa Capri,,,,italian,29.563688,-95.0475519,Harris
Church's Chicken,West Grand Parkway North Frontage Road,Katy,77449,chicken,29.7932116,-95.7755186,Harris
Sonic,West Grand Parkway,Katy,77449,burger,29.7934304,-95.7752863,Harris
Sonic,Mason Road,Katy,77449,burger,29.801445,-95.7527176,Harris
Donuts Kolaches,,,,,29.7993702,-95.7525312,Harris
Subway,North Mason Road,Katy,77449,sandwich,29.8006025,-95.7525187,Harris
Zum Barrel,,,,,29.9756126,-95.4326606,Harris
Chocolate Wasted Ice Cream,Telephone Road,Houston,,ice_cream,29.7345428,-95.3309446,Harris
Pizza Patron,South 75th Street,Houston,,pizza,29.7169128,-95.2941371,Harris
Subway,South 75th Street,Houston,77023,sandwich,29.7166771,-95.2942302,Harris
Subway,Harrisburg,Houston,77011,sandwich,29.7358202,-95.3058764,Harris
Wingstop,Harrisburg Boulevard,Houston,77011,wings,29.7355972,-95.3050308,Harris
Los Chinos Rico,,,,chinese,29.6997066,-95.2866964,Harris
Church's Chicken,,,,chicken,29.7035153,-95.2933985,Harris
Pizza Hut,Woodridge Drive,Houston,77087,pizza,29.7033713,-95.2957697,Harris
Vstar,,,,chinese,29.7034603,-95.2960411,Harris
La Madeleine,Westheimer Road,Houston,77042,,29.7365254,-95.551862,Harris
Whataburger,Main Street,Houston,77002,burger,29.7566945,-95.3655339,Harris
Starbucks,Northpark Drive,Kingwood,77345,coffee_shop,30.0668526,-95.1874435,Harris
Sonic,Northpark Drive,Kingwood,77345,burger,30.0667939,-95.1888441,Harris
McDonald's,Fry Road,Katy,77449,burger,29.7886285,-95.7217061,Harris
Subway,North Fry Road,Katy,77450,sandwich,29.7877076,-95.7193939,Harris
Lenny's Subs,Katy Freeway,Katy,,sandwich,29.7840763,-95.715382,Harris
Starbucks,Katy Freeway,Houston,77094,coffee_shop,29.7821097,-95.7165598,Harris
Chipotle,North Fry Road,Katy,77084,mexican,29.7876886,-95.7183519,Harris
Five Guys,North Fry Road,Houston,77084,burger,29.7860959,-95.7162593,Harris
Jimmy John's,North Fry Road,Katy,77084,sandwich,29.7875501,-95.718314,Harris
Smoothie King,North Fry Road,,,juice,29.788607,-95.7184725,Harris
Panera Bread,Katy Freeway,Houston,77094,sandwich;bakery,29.7860465,-95.7119427,Harris
The Cottage,,,,,29.786069,-95.7137499,Harris
Donuts & Kolaches,,,,,29.7927032,-95.7194854,Harris
Starbucks,Park Row,Katy,77449,coffee_shop,29.7906436,-95.7205277,Harris
Tropical's Latin Food,,,,,29.7927788,-95.7194821,Harris
Chang's Chinese,,,,chinese,29.787025,-95.7341042,Harris
Firehouse Subs,,,,sandwich,29.7867287,-95.733655,Harris
Stone Age Korean Grill Bar,,,,korean,29.7869854,-95.7350085,Harris
Sushi Ichii,,,,sushi,29.7869248,-95.7340342,Harris
Flavors Indian Cuisine Buffet,,,,indian,29.7865905,-95.733658,Harris
Orleans Seafood Kitchen,,,,seafood,29.7870326,-95.7347006,Harris
Russo's New York Pizzeria,,,,,29.7871236,-95.7341164,Harris
Mi Pueblito Restaurant,,,,,29.7870928,-95.7346155,Harris
Unicle Julio's,,,,,29.7863233,-95.7281191,Harris
Da Silva Steakhouse,,,,steak_house,29.7869597,-95.7351432,Harris
Orient Express,Katy Freeway,Katy,,chinese,29.7822401,-95.7201867,Harris
Shipley Donuts,,,,,29.7832325,-95.7214022,Harris
Texas Mesquite Grill,,,,,29.7835724,-95.7214022,Harris
Jimmy John's,Mason Road,Katy,77449,sandwich,29.7871895,-95.7512536,Harris
Moe's Southwest Gril,,,,,29.7868797,-95.7511367,Harris
Pho Bamboo Vietnamese Noodle House,,,,vietnamese,29.7873531,-95.7512548,Harris
Salata,,,,,29.7868786,-95.7512887,Harris
E Star Chinese Buffet,Katy Freeway,Katy,,,29.7834382,-95.7236306,Harris
Dimassi's Mediterranean Buffet,Richmond Avenue,Houston,77056,greek;buffet,29.7327805,-95.4659304,Harris
Kolache Factory,,,,,29.7819668,-95.7509396,Harris
Tacos La Bala,,,,,29.7811435,-95.7508752,Harris
Taquerias Arandas,,,,,29.7819652,-95.7512399,Harris
Cici's Pizza,,,,pizza;buffet,29.7824468,-95.7525604,Harris
Freebirds,,,,mexican,29.7824518,-95.7521266,Harris
Miri's Kitchen Persian,Memorial Drive,Houston,77007,persian,29.7609974,-95.4202809,Harris
Atami Steak & Sushi,South Mason Road,Katy,,,29.776683,-95.750311,Harris
BreWingZ Sports Bar & Grill,,,,,29.7776869,-95.7511543,Harris
Kabob Korner,,,,,29.7768044,-95.7511742,Harris
Starbucks,South Mason Road,Katy,77450,coffee_shop,29.7768405,-95.7503329,Harris
The Bagel Cafe,South Mason Road,Katy,77450,bagel,29.7730357,-95.7503846,Harris
China Cottage,,,,,29.7730357,-95.7506082,Harris
Fuzzy's Pizza,,,,,29.7739307,-95.7498753,Harris
Subway,Saums Road,Houston,77084,sandwich,29.8010881,-95.7176917,Harris
Habanero's Tacos,Hialeah Drive,Seabrook,77586,,29.5726926,-95.0263088,Harris
Shipley's Doughnuts,Seabrook Circle,Seabrook,77586,,29.5802627,-95.0277127,Harris
Seabrook Waffle Company,5th Street,Seabrook,77586,breakfast;waffle,29.5598985,-95.0243048,Harris
Pink's Pizza,North Shepherd Drive,Houston,77018,pizza,29.8177017,-95.4098872,Harris
Simply Phở,Milam Street,Houston,77006,vietnamese,29.743861,-95.3776454,Harris
The Boot,West 20th Street,Houston,77008,cajun,29.8034886,-95.4205897,Harris
Bernadine's,,,,seafood,29.8019276,-95.4109947,Harris
Hunky Dory,,,,american,29.8021254,-95.4108479,Harris
Vietnam Restaurant,,,,vietnamese,29.8029447,-95.4082276,Harris
Laredo Taqueria,,,,mexican,29.7700789,-95.4050434,Harris
Miyako,Washington Avenue,Houston,77007,japanese,29.7702821,-95.4076781,Harris
Five Guys,Washington Avenue,Houston,77007,burger,29.7695948,-95.4007275,Harris
Buffalo Wild Wings,Washington Avenue,Houston,77007,wings,29.7695605,-95.4002708,Harris
Chatter's Cafe & Bistro,South Heights Boulevard,Houston,77007,mediterranean,29.7681635,-95.3975505,Harris
Star Pizza #2,Harvard Street,Houston,77007,pizza,29.7700613,-95.3962089,Harris
Urban Eats,Washington Avenue,Houston,77007,,29.7695952,-95.394786,Harris
KA Sushi,North Shepherd Drive,Houston,77008,sushi,29.8031008,-95.410536,Harris
Gold Tooth Tony's Detroit Pizza,North Shepherd Drive,Houston,77008,,29.8030951,-95.4107421,Harris
Amy's Ice Cream,North Shepherd Drive,Houston,77008,,29.8030954,-95.4106849,Harris
Smoothie King,North Shepherd Drive,Houston,77008,juice,29.8030944,-95.4108565,Harris
Torchy's Tacos,West 19th Street,Houston,77008,tacos,29.8027058,-95.4034662,Harris
Harold's,,,,,29.8027092,-95.4033847,Harris
Jeni's Ice Creams,West 19th Street,Houston,,ice_cream,29.8030396,-95.403484,Harris
Boomtown Coffee,West 19th Street,Houston,,coffee_shop,29.8026862,-95.4006728,Harris
CAVA,West 20th Street,Houston,,mediterranean,29.8037522,-95.4012092,Harris
Subway,Yale Street,Houston,77008,sandwich,29.8046045,-95.3995704,Harris
Dandelion Cafe,West 22nd Street,,,,29.8060546,-95.4083616,Harris
Yard House,Sorella Court,Houston,77024,american,29.7799159,-95.5612571,Harris
Subway,FM 1960 West,Houston,77069,sandwich,29.9797113,-95.5144404,Harris
Demeris Barbeque,West Loop North,Houston,,barbecue,29.8005039,-95.4482566,Harris
Ae's Taste of Korea,,,,asian,29.9972963,-95.1945559,Harris
Subway,FM 1960 East,Humble,77346,sandwich,29.9973729,-95.1946819,Harris
SouthSide Espresso,Westheimer Road,Houston,77006,coffee_shop,29.7449924,-95.3907,Harris
Southwell's Hamburger Grill,San Felipe Street,Houston,77057,burger,29.7503864,-95.4850801,Harris
Eatz On The Corner,Commerce Street,Pine Mountain,31811,burger,32.8651311,-84.8540902,Harris
Peso's Mexican Cafe,,,,mexican,29.9211535,-95.0705174,Harris
Subway,North FM 2100,Crosby,77532,sandwich,29.9206096,-95.0684521,Harris
Going's BBQ,FM 2100,Crosby,77532,barbecue,29.9176571,-95.0696162,Harris
Pepperoni's,West 43rd Street,Houston,,pizza,29.8287457,-95.4339681,Harris
Taste of Greek,Kingwood Drive,Kingwood,77345,greek,30.048389,-95.1825861,Harris
El Charro,Kingwood Drive,Kingwood,77345,mexican,30.0496938,-95.1819745,Harris
Hin's Garden,Kingwood Drive,Kingwood,77345,chinese,30.0478369,-95.1808858,Harris
Three B's Grill,Kingwood Drive,Kingwood,77345,american,30.0503855,-95.1813332,Harris
La Madeleine,Kingwood Drive,Kingwood,77345,french,30.0501792,-95.1823405,Harris
Chipotle,Kingwood Drive,Kingwood,77345,mexican,30.0500472,-95.1830828,Harris
Papa Murphy's,Kingwood Drive,Kingwood,77345,pizza,30.0498656,-95.1830099,Harris
Conservatory,Prairie Street,Houston,77002,,29.760363,-95.3615432,Harris
Bahama Buck's Original Shaved Ice,Katy Freeway Frontage Road,Houston,77043,ice_cream;shaved_ice;smoothie,29.7854485,-95.5826052,Harris
Murphy's Deli,Harwin Drive,Houston,77036,sandwich,29.717759,-95.5055621,Harris
Lopez,Wilcrest Drive,Houston,77099,mexican,29.6530367,-95.5709047,Harris
Re+Bar No.9,,,,,29.9879763,-95.3499416,Harris
Starbucks,North Terminal Road,Houston,77032,coffee_shop,29.987874,-95.3498089,Harris
Blaze Pizza,,,,pizza,29.9875774,-95.3498023,Harris
Mango Taco Truck,,,,,29.9875774,-95.3496322,Harris
Dimassi's Mediterranean Buffet,Kirby Drive,Houston,77054,mediterranean;buffet,29.6891682,-95.4129677,Harris
Happy Lamp Restaurant,Hillcroft Avenue,,77096,chinese,29.6767078,-95.4930319,Harris
Subway,South Sam Houston Parkway West,Houston,77085,sandwich,29.6150128,-95.4950292,Harris
Popeyes,South Sam Houston Parkway West,Houston,77085,chicken,29.6156378,-95.4958902,Harris
Papa John's,South Sam Houston Parkway West,Houston,77085,pizza,29.6216768,-95.5087996,Harris
Starbucks,Northpark,Northpark Place,77339,coffee_shop,30.0696677,-95.2163387,Harris
Taqueria Elena 2 taco truck,,,,mexican,29.7166835,-95.3150992,Harris
Pizza Hut,Northpark Drive,Kingwood,77345,pizza,30.0675313,-95.1953898,Harris
Citizen Donuts,West Lake Houston Parkway,Kingwood,77339,,30.0658704,-95.1889457,Harris
Skeeter's Mesquite Grill,West Lake Houston Parkway,Kingwood,77339,mexican,30.0657481,-95.188928,Harris
Green Garden,Park Row,Katy,77449,asian,29.7906435,-95.7207072,Harris
Subway,North Park Drive,Kingwood,77339,sandwich,30.0696815,-95.212126,Harris
Jack in the Box,,,,burger,30.0680793,-95.209641,Harris
Thai Chefs,Barker Cypress Road,Houston,77084,thai,29.8788205,-95.6837264,Harris
J. Christopher’s Italian Bistro,Northpark Drive,Kingwood,77339,italian;pasta;pizza,30.06969,-95.2124862,Harris
Las Palomas Mexican Restaurant,Northpark Drive,Kingwood,77339,mexican,30.0696863,-95.212833,Harris
MOD Pizza,Richmond Avenue,Houston,77056,pizza,29.7319739,-95.4661732,Harris
KFC,Kingwood Drive,Kingwood,77339,chicken,30.0498695,-95.2302917,Harris
Oriental Gardens Chinese Restaurant,Kingwood Drive,Kingwood,77339,chinese,30.0487012,-95.2322616,Harris
Mr. Gatti's Pizza,Kingwood Drive,Kingwood,77339,pizza,30.0507739,-95.2362509,Harris
Sonic,Will Clayton Parkway,Humble,77338,burger,29.9824312,-95.2810697,Harris
,,,,tex-mex,29.8361739,-95.6508153,Harris
Subway,,,,sandwich,29.835613,-95.646585,Harris
El Klosko Frutas y Helados,,,,mexican,29.8356127,-95.6468653,Harris
Cafe Giot Dang,,,,vietnamese,29.8352406,-95.647976,Harris
Smoothie King,,,,juice,29.8316938,-95.7030084,Harris
Subway,Clay Road,Katy,77449,sandwich,29.8314053,-95.7046889,Harris
Elements Grill,Hermann Park Drive,Houston,77030,american;burger;hot_dog,29.7219141,-95.3898569,Harris
Chachi's Mexican Restaurant,Town Center Place,Kingwood,77339,mexican,30.0480617,-95.1855796,Harris
Texas Sushi Hana,North Main Street,Kingwood,77339,japanese,30.0482021,-95.1856292,Harris
Russo's New York Pizzeria,North Main Street,Kingwood,77339,pizza,30.0487103,-95.1854019,Harris
Italian Pizza & Pasta,,,,italian,29.7995538,-95.71996,Harris
Koby Japanese Steak House & Sushi Bar,,,,japanese,29.7999215,-95.7199842,Harris
Cravin' Cajin,,,,seafood,29.800685,-95.7201585,Harris
Domino's,Fry Road,Katy,77449,pizza,29.8009526,-95.7200512,Harris
El Kiosko Frutas Y Helados #12,,,,juice,29.8014065,-95.72007,Harris
Kingwood Bagel & Sandwich,West Lake Houston Parkway,Kingwood,77339,,30.0476822,-95.1844576,Harris
Papa John's,West Lake Houston Parkway,Kingwood,77339,pizza,30.0477249,-95.1844737,Harris
Taqueria,,,,mexican,29.8490885,-95.6829026,Harris
Mi Rancho,Wilson Road,Humble,77396,tex-mex,29.9367186,-95.2490338,Harris
Subway,Wilson Road,Humble,77396,sandwich,29.9369706,-95.249044,Harris
Tutti Frutti Frozen Yogurt,,,,frozen_yogurt,29.9367613,-95.2473588,Harris
Pizza Hut,Wilson Road,Humble,77396,pizza,29.9368445,-95.2490389,Harris
Hunan Garden Restaurant,Kingwood Drive,Kingwood,77339,chinese,30.0510899,-95.1863493,Harris
Domino's,Kingwood Drive,Kingwood,77339,pizza,30.0508288,-95.1866068,Harris
Fung's kitchen,Southwest Freeway,Houston,,,29.7026669,-95.5170209,Harris
Ocean Palace,Bellaire Boulevard,,,,29.7028834,-95.5786086,Harris
Starbucks,Amherst Street,Houston,77005,coffee_shop,29.7156999,-95.4173876,Harris
Starbucks,Lamar Street,Houston,77010,coffee_shop,29.7515798,-95.3601287,Harris
Tookie's Seafood,,,,seafood,29.5616169,-95.0247795,Harris
The Annie,,,,,29.9879979,-95.338313,Harris
Little Caesars,West Mount Houston Road,Houston,77038,pizza,29.8989307,-95.4288134,Harris
Little Caesars,East Crosstimbers Street,Houston,77022,pizza,29.828125,-95.3740626,Harris
Little Caesars,,,,pizza,29.870448,-95.3826709,Harris
Mamacita's,,,,mexican,29.5414238,-95.1138536,Harris
El Hidalguense,Long Point Road,Houston,,,29.8025708,-95.4705104,Harris
Spanish Flowers Seafood & Oyster Bar,,,,seafood,29.9090554,-95.4133251,Harris
El Papaturro,Aldine Bender Road,Houston,,,29.9312898,-95.4077994,Harris
Domino's,Aldine Bender Road,Houston,77060,pizza,29.9312676,-95.4082501,Harris
Subway,North Freeway,Houston,77037,sandwich,29.9131982,-95.4135695,Harris
Schlotzsky's,Spencer Highway,La Porte,,sandwich,29.6637124,-95.0990386,Harris
Dunkin',Bingle Road,Houston,77092,donut;coffee_shop,29.83959,-95.4891624,Harris
Denny's,North Sam Houston Parkway East,Houston,,american,29.9379523,-95.3721616,Harris
